country,hour,p,d,q,bic,notes
FI,18,0,0,0,,Zero-production rule applied
FI,19,0,0,0,,Zero-production rule applied
FR,4,0,0,0,,Zero-production rule applied
FR,5,0,0,0,,Zero-production rule applied
FR,6,2,1,3,3049.8245687744097,Passes Ljung-Box
FR,7,0,1,2,3758.0067689557627,Passes Ljung-Box
FR,8,0,1,2,4043.0477585461117,Passes Ljung-Box
FR,9,1,1,1,4184.564785019295,Passes Ljung-Box
FR,10,2,0,1,4268.334016332857,Passes Ljung-Box
FR,11,2,0,1,4279.435230737823,Passes Ljung-Box
FR,12,2,0,1,4275.9759070122,Passes Ljung-Box
FR,13,1,0,2,4252.360758691195,Passes Ljung-Box
FR,14,2,0,1,4207.25691701611,Passes Ljung-Box
FR,15,2,0,1,4097.720382264928,Passes Ljung-Box
FR,16,1,1,1,3834.4476096272265,Passes Ljung-Box
FR,17,0,1,1,3275.2595247463064,Passes Ljung-Box
FR,18,0,0,0,,Zero-production rule applied
FR,19,0,0,0,,Zero-production rule applied
HR,4,0,0,0,,Zero-production rule applied
HR,5,0,1,2,352.51073851968215,Passes Ljung-Box
HR,6,1,1,3,1125.4686902396954,Passes Ljung-Box
HR,7,1,1,1,1537.44728281805,Passes Ljung-Box
HR,8,1,1,1,1734.9082714339042,Passes Ljung-Box
HR,9,2,0,1,1826.7233401510066,Passes Ljung-Box
HR,10,2,0,1,1859.1870279445352,Passes Ljung-Box
HR,11,2,0,1,1867.525175389535,Passes Ljung-Box
HR,12,2,0,1,1862.5086497646162,Passes Ljung-Box
HR,13,2,0,1,1812.5573568615005,Passes Ljung-Box
HR,14,2,0,1,1668.7823661358477,Passes Ljung-Box
HR,15,0,1,2,1325.2152429753753,Passes Ljung-Box
HR,16,2,1,3,724.1768362027509,Passes Ljung-Box
HR,17,0,0,0,,Zero-production rule applied
HR,18,0,0,0,,Zero-production rule applied
HU,3,0,0,0,,Zero-production rule applied
HU,4,0,0,0,,Zero-production rule applied
HU,5,0,1,2,540.3519204583732,Passes Ljung-Box
HU,6,1,0,2,1147.119838888204,Passes Ljung-Box
HU,7,2,0,1,1397.4269538750873,Passes Ljung-Box
HU,8,2,0,1,1480.1475274567242,Passes Ljung-Box
HU,9,1,0,0,1514.0187227797176,Passes Ljung-Box
HU,10,1,0,0,1545.4799715316703,Passes Ljung-Box
HU,11,1,0,0,1551.8175836141108,Passes Ljung-Box
HU,12,1,0,0,1540.6149330055364,Passes Ljung-Box
HU,13,1,0,1,1493.5455805211095,Passes Ljung-Box
HU,14,1,0,1,1390.4955435678005,Passes Ljung-Box
HU,15,1,1,2,1119.758022714553,Passes Ljung-Box
HU,16,0,1,1,482.60012657361386,Passes Ljung-Box
HU,17,0,0,0,,Zero-production rule applied
HU,18,0,0,0,,Zero-production rule applied
IE,5,0,0,0,,Zero-production rule applied
IE,6,0,0,0,,Zero-production rule applied
IE,7,0,1,1,-1309.5032486531804,Passes Ljung-Box
IE,8,0,1,1,-736.4181078995158,Passes Ljung-Box
IE,9,0,1,1,-468.4531836878024,Passes Ljung-Box
IE,10,1,0,1,-314.32798372316034,Passes Ljung-Box
IE,11,1,0,1,-232.02300789861002,Passes Ljung-Box
IE,12,2,0,2,-186.42819192287294,Passes Ljung-Box
IE,13,2,0,2,-187.27502594004847,Passes Ljung-Box
IE,14,1,1,2,-240.52125908022109,Passes Ljung-Box
IE,15,0,1,1,-349.073632778439,Passes Ljung-Box
IE,16,0,1,1,-521.6574838132829,Passes Ljung-Box
IE,17,4,1,5,-839.9154144477104,Passes Ljung-Box
IE,18,5,1,4,-1434.766470541731,Passes Ljung-Box
IE,19,0,0,0,,Zero-production rule applied
IE,20,0,0,0,,Zero-production rule applied
IT,4,0,0,0,,Zero-production rule applied
IT,5,2,1,2,3048.9656953592576,Passes Ljung-Box
IT,6,0,1,2,3884.001701222869,Passes Ljung-Box
IT,7,0,1,2,4381.354687952496,Passes Ljung-Box
IT,8,1,1,1,4677.269361476465,Passes Ljung-Box
IT,9,0,1,2,4797.232057034879,Passes Ljung-Box
IT,10,1,1,1,4844.324112409056,Passes Ljung-Box
IT,11,1,1,1,4846.707387103165,Passes Ljung-Box
IT,12,1,1,1,4825.798637827414,Passes Ljung-Box
IT,13,2,1,1,4784.05254791485,Passes Ljung-Box
IT,14,2,1,1,4674.062120105142,Passes Ljung-Box
IT,15,2,1,1,4392.639762489811,Passes Ljung-Box
IT,16,0,1,3,3934.172707683434,Passes Ljung-Box
IT,17,0,0,0,,Zero-production rule applied
IT,18,0,0,0,,Zero-production rule applied
LT,3,0,0,0,,Zero-production rule applied
LT,4,0,0,0,,Zero-production rule applied
LT,5,0,1,1,1238.5490623803712,Passes Ljung-Box
LT,6,0,1,1,1690.6187833339438,Passes Ljung-Box
LT,7,1,0,1,1927.5395740926035,Passes Ljung-Box
LT,8,1,0,1,2031.3550174237573,Passes Ljung-Box
LT,9,1,0,1,2081.434069274338,Passes Ljung-Box
LT,10,1,0,1,2109.612321687584,Passes Ljung-Box
LT,11,1,0,1,2096.882888755482,Passes Ljung-Box
LT,12,1,0,1,2050.6489024245243,Passes Ljung-Box
LT,13,1,0,1,1951.6108340058531,Passes Ljung-Box
LT,14,1,0,1,1768.9340901116468,Passes Ljung-Box
LT,15,0,1,1,1384.3461948583574,Passes Ljung-Box
LT,16,3,1,0,642.5710882209885,Passes Ljung-Box
LT,17,0,0,0,,Zero-production rule applied
LT,18,0,0,0,,Zero-production rule applied
LU,4,0,0,0,,Zero-production rule applied
LU,5,0,0,0,,Zero-production rule applied
LU,6,1,1,2,1468.6405031004879,Passes Ljung-Box
LU,7,1,1,3,1999.4310272294485,Passes Ljung-Box
LU,8,1,0,1,2283.2210779751194,Passes Ljung-Box
LU,9,1,0,1,2410.4924527317216,Passes Ljung-Box
LU,10,1,0,1,2494.920895514553,Passes Ljung-Box
LU,11,1,0,1,2509.8791047123955,Passes Ljung-Box
LU,12,1,0,1,2498.3328789350153,Passes Ljung-Box
LU,13,1,0,1,2466.4873773993204,Passes Ljung-Box
LU,14,1,0,1,2392.09954200636,Passes Ljung-Box
LU,15,2,0,1,2246.3794550156563,Passes Ljung-Box
LU,16,1,1,1,1908.1087807233887,Passes Ljung-Box
LU,17,0,1,1,1349.0828158569027,Passes Ljung-Box
LU,18,0,0,0,,Zero-production rule applied
LU,19,0,0,0,,Zero-production rule applied
LV,3,0,0,0,,Zero-production rule applied
LV,4,0,0,0,,Zero-production rule applied
LV,5,1,1,1,-638.4563673055675,Passes Ljung-Box
LV,6,1,0,1,-207.51256526663457,Passes Ljung-Box
LV,7,1,0,1,-2.4582299484507217,Passes Ljung-Box
LV,8,1,0,1,97.09762486553915,Passes Ljung-Box
LV,9,1,0,1,149.64947243757697,Passes Ljung-Box
LV,10,1,0,1,177.64832091629125,Passes Ljung-Box
LV,11,1,0,2,162.57547472276104,Passes Ljung-Box
LV,12,1,0,1,126.49276024676016,Passes Ljung-Box
LV,13,1,0,1,19.079770200304687,Passes Ljung-Box
LV,14,1,0,1,-175.0580825462568,Passes Ljung-Box
LV,15,0,1,1,-544.8273816844955,Passes Ljung-Box
LV,16,1,1,1,-1274.5292633303814,Passes Ljung-Box
LV,17,0,0,0,,Zero-production rule applied
LV,18,0,0,0,,Zero-production rule applied
NL,4,0,0,0,,Zero-production rule applied
NL,5,0,0,0,,Zero-production rule applied
NL,6,2,1,3,2796.054678037022,Passes Ljung-Box
