tol,set_number,country,wind objective,solar objective,combined objective,ratio
0.01000,7,EL,-0.00000,85.06759,128.36356,1.50896
0.01000,7,ES,-0.00000,410.87549,563.15579,1.37062
0.01000,7,FI,-0.00000,-0.00000,0.06499,0.00000
0.01000,7,FR,-0.00000,157.95589,299.47717,1.89595
0.01000,7,HR,-0.00000,0.01991,0.24052,12.08019
0.01000,7,HU,-0.00000,0.15751,0.39452,2.50469
0.01000,7,IE,-0.00000,0.00084,0.00610,7.30017
0.01000,7,IT,-0.00000,467.36917,606.16266,1.29697
0.01000,7,LT,-0.00000,-0.00000,0.81498,0.00000
0.01000,7,LU,-0.00000,0.07582,0.61023,8.04862
0.01000,7,LV,-0.00000,-0.00000,0.01720,0.00000
0.01000,7,NL,-0.00000,10.33928,37.11988,3.59018
0.01000,7,NO,-0.00000,0.08242,0.42805,5.19376
0.01000,7,PL,-0.00000,0.07174,1.71356,23.88726
0.01000,7,PT,-0.00000,29.12955,41.25866,1.41639
0.01000,7,RO,-0.00000,5.92212,6.41435,1.08312
0.01000,7,SE,-0.00000,0.34640,1.90863,5.50991
0.01000,7,SI,-0.00000,-0.00000,0.01098,0.00000
0.01000,7,SK,-0.00000,1.62289,1.68824,1.04027
0.01000,7,UK,-0.00000,132.39022,243.65959,1.84047
0.01000,8,AT,-0.00000,0.58084,8.94202,15.39496
0.01000,8,BE,-0.00000,4.74546,20.11959,4.23976
0.01000,8,BG,-0.00000,6.53151,14.76793,2.26103
0.01000,8,CH,-0.00000,1.76226,3.01135,1.70880
0.01000,8,CZ,-0.00000,-0.00000,3.87204,0.00000
0.01000,8,DE,-0.00000,346.55446,764.28255,2.20537
0.01000,8,DK,-0.00000,10.54108,29.21352,2.77140
0.01000,8,EE,-0.00000,-0.00000,0.00731,0.00000
0.01000,8,EL,-0.00000,89.01763,116.92326,1.31348
0.01000,8,ES,-0.00000,409.04445,506.55798,1.23839
0.01000,8,FI,-0.00000,-0.00000,0.09247,0.00000
0.01000,8,FR,-0.00000,164.43647,375.12919,2.28130
0.01000,8,HR,-0.00000,0.00668,0.34682,51.95864
0.01000,8,HU,-0.00000,0.15495,0.50041,3.22957
0.01000,8,IE,-0.00000,-0.00000,0.01828,0.00000
0.01000,8,IT,-0.00000,429.24590,504.74795,1.17589
0.01000,8,LT,-0.00000,-0.00000,0.43133,0.00000
0.01000,8,LU,-0.00000,0.20227,0.63888,3.15856
0.01000,8,LV,-0.00000,-0.00000,0.01169,0.00000
0.01000,8,NL,-0.00000,9.40879,33.28721,3.53789
0.01000,8,NO,0.06596,0.06809,0.44919,3.35074
0.01000,8,PL,-0.00000,0.05405,1.80749,33.44196
0.01000,8,PT,-0.00000,31.20730,42.21086,1.35260
0.01000,8,RO,-0.00000,0.48701,2.74582,5.63807
0.01000,8,SE,-0.00000,0.24950,1.38816,5.56385
0.01000,8,SI,-0.00000,-0.00000,0.03137,0.00000
0.01000,8,SK,-0.00000,1.30181,1.38393,1.06308
0.01000,8,UK,-0.00000,122.98327,333.37187,2.71071
0.01000,9,AT,-0.00000,2.15092,8.94808,4.16012
0.01000,9,BE,-0.00000,5.37429,24.70688,4.59724
0.01000,9,BG,-0.00000,3.61954,9.65043,2.66620
0.01000,9,CH,-0.00000,1.48529,2.39112,1.60987
0.01000,9,CZ,-0.00000,3.37660,7.81816,2.31540
0.01000,9,DE,-0.00000,438.06080,723.19056,1.65089
0.01000,9,DK,-0.00000,6.64944,28.58895,4.29945
0.01000,9,EE,-0.00000,-0.00000,0.06180,0.00000
0.01000,9,EL,-0.00000,86.67663,115.38923,1.33126
0.01000,9,ES,-0.00000,420.59890,556.67838,1.32354
0.01000,9,FI,-0.00000,-0.00000,0.12791,0.00000
0.01000,9,FR,-0.00000,161.86482,325.18765,2.00901
0.01000,9,HR,-0.00000,-0.00000,0.32248,0.00000
0.01000,9,HU,-0.00000,0.15543,0.44984,2.89417
0.01000,9,IE,-0.00000,0.00018,0.01661,94.90343
0.01000,9,IT,-0.00000,401.40337,563.13319,1.40291
0.01000,9,LT,-0.00000,-0.00000,0.17234,0.00000
0.01000,9,LU,-0.00000,0.09551,0.47213,4.94343
0.01000,9,LV,-0.00000,0.00096,0.00244,2.53659
0.01000,9,NL,-0.00000,5.74201,16.93739,2.94973
0.01000,9,NO,0.16087,0.08979,0.56733,2.26329
0.01000,9,PL,-0.00000,0.03452,1.16273,33.68738
0.01000,9,PT,-0.00000,29.31907,41.11647,1.40238
0.01000,9,RO,-0.00000,3.06816,6.91253,2.25299
0.01000,9,SE,-0.00000,0.48242,2.39067,4.95558
0.01000,9,SI,-0.00000,-0.00000,0.04236,0.00000
0.01000,9,SK,-0.00000,1.42544,1.51253,1.06110
0.01000,9,UK,-0.00000,108.51837,426.86592,3.93358
0.01000,10,AT,-0.00000,1.46527,9.24830,6.31169
0.01000,10,BE,-0.00000,2.28682,13.76234,6.01811
0.01000,10,BG,-0.00000,8.05817,17.50485,2.17231
0.01000,10,CH,-0.00000,0.97295,2.54422,2.61495
0.01000,10,CZ,-0.00000,-0.00000,2.41555,0.00000
0.01000,10,DE,-0.00000,403.35863,599.11631,1.48532
0.01000,10,DK,-0.00000,7.42910,24.66838,3.32051
0.01000,10,EE,-0.00000,-0.00000,0.01120,0.00000
0.01000,10,EL,-0.00000,89.02410,126.86155,1.42502
0.01000,10,ES,-0.00000,408.47207,564.67786,1.38241
0.01000,10,FI,-0.00000,-0.00000,0.05569,0.00000
0.01000,10,FR,-0.00000,189.31160,309.16773,1.63312
0.01000,10,HR,-0.00000,0.03182,0.58714,18.45246
0.01000,10,HU,-0.00000,0.11640,0.68306,5.86816
0.01000,10,IE,-0.00000,0.00068,0.01387,20.45221
0.01000,10,IT,-0.00000,354.70967,529.59880,1.49305
0.01000,10,LT,-0.00000,-0.00000,0.27967,0.00000
0.01000,10,LU,-0.00000,0.12461,0.55266,4.43505
0.01000,10,LV,-0.00000,-0.00000,0.00726,0.00000
0.01000,10,NL,-0.00000,7.02054,22.52876,3.20898
0.01000,10,NO,0.60065,0.06908,0.88808,1.32603
0.01000,10,PL,-0.00000,0.08139,0.98846,12.14480
0.01000,10,PT,-0.00000,33.32215,51.57732,1.54784
0.01000,10,RO,-0.00000,-0.00000,9.82784,0.00000
0.01000,10,SE,-0.00000,0.33975,0.40536,1.19312
0.01000,10,SI,-0.00000,-0.00000,0.03322,0.00000
0.01000,10,SK,-0.00000,2.76288,2.80357,1.01473
0.01000,10,UK,-0.00000,118.39164,374.54353,3.16360
0.05000,1,AT,-0.00000,3.63552,12.91089,3.55132
0.05000,1,BE,-0.00000,18.41626,68.35970,3.71192
0.05000,1,BG,-0.00000,7.49833,11.99167,1.59925
0.05000,1,CH,0.01299,2.27712,3.27682,1.43086
0.05000,1,CZ,0.00890,5.84246,6.48790,1.10878
0.05000,1,DE,-0.00000,626.49079,868.84487,1.38684
0.05000,1,DK,-0.00000,10.48402,43.24796,4.12513
0.05000,1,EE,-0.00000,0.02015,0.07665,3.80477
0.05000,1,EL,-0.00000,104.36083,141.48448,1.35572
0.05000,1,ES,-0.00000,419.47402,580.34119,1.38350
0.05000,1,FI,-0.00000,0.03091,0.15847,5.12764
