tol,day,country,n_sets,mean_ratio,ci_lower,ci_upper,ratio_1000,extreme_1000,within_ci,rel_dev_pct
0.0500,362,CZ,10,2.3088,1.9882,2.6294,2.8153,False,False,21.9378
0.0500,362,DE,10,7.1318,4.7192,9.5444,7.5006,False,True,5.1712
0.0500,362,DK,10,1.3916,0.3004,2.4828,0.0000,False,False,-100.0000
0.0500,362,EE,10,1.0619,1.0046,1.1192,1.0000,False,False,-5.8292
0.0500,362,EL,10,1.3490,1.2604,1.4377,1.3516,False,True,0.1927
0.0500,362,ES,10,1.5216,1.4270,1.6161,1.4717,False,True,-3.2794
0.0500,362,FI,10,1.0173,1.0009,1.0337,1.0000,False,False,-1.7006
0.0500,362,FR,10,1.6446,1.4783,1.8110,2.0738,False,False,26.0975
0.0500,362,HR,10,3.1605,2.5095,3.8114,3.5597,False,True,12.6309
0.0500,362,HU,10,3.9519,3.5346,4.3692,3.5875,False,True,-9.2209
0.0500,362,IE,10,1.0003,0.9999,1.0007,1.0006,False,True,0.0300
0.0500,362,IT,10,1.1737,1.1389,1.2085,1.1661,False,True,-0.6475
0.0500,362,LT,10,44.3028,-5.5130,94.1185,3413746.5724,True,False,
0.0500,362,LU,10,4.8667,2.2494,7.4840,3.3376,False,True,-31.4196
0.0500,362,LV,10,1.3903,0.9760,1.8046,0.0000,False,False,-100.0000
0.0500,362,NL,10,1.6064,1.2588,1.9541,1.4794,False,True,-7.9059
0.0500,362,NO,10,1.0059,1.0039,1.0078,1.0032,False,False,-0.2684
0.0500,362,PL,10,8.3303,5.3330,11.3276,14.0716,False,False,68.9207
0.0500,362,PT,10,1.5720,1.5103,1.6336,1.4720,False,False,-6.3613
0.0500,362,RO,10,2.1145,1.8835,2.3456,2.3619,False,False,11.7002
0.0500,362,SE,10,78.0950,-80.6129,236.8028,22001578.9335,True,False,
0.0500,362,SI,10,1.0378,1.0035,1.0721,1.0397,False,True,0.1831
0.0500,362,SK,10,1.0195,1.0110,1.0280,1.0224,False,True,0.2845
0.0500,362,UK,10,1.1537,1.0563,1.2511,1.0919,False,True,-5.3567
0.1000,271,AT,10,3.0322,2.5951,3.4692,3.2065,False,True,5.7483
0.1000,271,BE,10,2.5993,2.3041,2.8945,2.2703,False,False,-12.6573
0.1000,271,BG,10,1.8814,1.6905,2.0722,2.0456,False,True,8.7275
0.1000,271,CH,10,1.1806,1.1182,1.2430,1.0979,False,False,-7.0049
0.1000,271,CZ,10,1.3501,1.2555,1.4447,1.3058,False,True,-3.2812
0.1000,271,DE,10,2.0710,1.8911,2.2508,1.9249,False,True,-7.0546
0.1000,271,DK,10,2.7879,2.4877,3.0882,3.2257,False,False,15.7036
0.1000,271,EE,10,6.0683,3.4056,8.7309,14.3832,False,False,137.0219
0.1000,271,EL,10,1.3500,1.3110,1.3889,1.3285,False,True,-1.5926
0.1000,271,ES,10,1.4247,1.3581,1.4913,1.3987,False,True,-1.8249
0.1000,271,FI,10,6.3886,0.5783,12.1988,31.8941,False,False,399.2346
0.1000,271,FR,10,1.7561,1.6340,1.8782,1.7679,False,True,0.6719
0.1000,271,HR,10,3.7511,3.1931,4.3091,3.7937,False,True,1.1357
0.1000,271,HU,10,2.6183,2.2906,2.9459,2.7176,False,True,3.7925
0.1000,271,IE,10,0.9615,0.8760,1.0469,10.4176,False,False,983.4737
0.1000,271,IT,10,1.2567,1.2284,1.2850,1.2560,False,True,-0.0557
0.1000,271,LT,10,7.6007,5.8396,9.3618,0.0000,False,False,-100.0000
0.1000,271,LU,10,2.0432,1.7389,2.3474,0.0000,False,False,-100.0000
0.1000,271,LV,10,2.6175,1.8189,3.4161,6.4271,False,False,145.5435
0.1000,271,NL,10,3.2530,2.7811,3.7249,3.1576,False,True,-2.9327
0.1000,271,NO,10,1.0434,1.0271,1.0597,1.0516,False,True,0.7859
0.1000,271,PL,10,4.0008,1.7390,6.2627,7.9602,False,False,98.9652
0.1000,271,PT,10,1.4633,1.3809,1.5456,0.0000,False,False,-100.0000
0.1000,271,RO,10,2.9033,2.5624,3.2442,2.2887,False,False,-21.1690
0.1000,271,SE,10,3.0546,2.6245,3.4847,2.2641,False,False,-25.8790
0.1000,271,SI,10,0.9854,0.9592,1.0116,1.0030,False,True,1.7861
0.1000,271,SK,10,1.0069,1.0020,1.0118,1.0156,False,False,0.8640
