country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string,day
BG,10,1.8101,1.6051,2.015,"(1.6051, 2.0150)",362
CH,10,1.1949,1.1408,1.249,"(1.1408, 1.2490)",362
CZ,10,2.3088,1.9882,2.6294,"(1.9882, 2.6294)",362
DE,10,7.1318,4.7192,9.5444,"(4.7192, 9.5444)",362
DK,10,1.3916,0.3004,2.4828,"(0.3004, 2.4828)",362
EE,10,1.0619,1.0046,1.1192,"(1.0046, 1.1192)",362
EL,10,1.349,1.2604,1.4377,"(1.2604, 1.4377)",362
ES,10,1.5216,1.427,1.6161,"(1.4270, 1.6161)",362
FI,10,1.0173,1.0009,1.0337,"(1.0009, 1.0337)",362
FR,10,1.6446,1.4783,1.811,"(1.4783, 1.8110)",362
HR,10,3.1605,2.5095,3.8114,"(2.5095, 3.8114)",362
HU,10,3.9519,3.5346,4.3692,"(3.5346, 4.3692)",362
IE,10,1.0003,0.9999,1.0007,"(0.9999, 1.0007)",362
IT,10,1.1737,1.1389,1.2085,"(1.1389, 1.2085)",362
LT,10,44.3028,-5.513,94.1185,"(-5.5130, 94.1185)",362
LU,10,4.8667,2.2494,7.484,"(2.2494, 7.4840)",362
LV,10,1.3903,0.976,1.8046,"(0.9760, 1.8046)",362
NL,10,1.6064,1.2588,1.9541,"(1.2588, 1.9541)",362
NO,10,1.0059,1.0039,1.0078,"(1.0039, 1.0078)",362
PL,10,8.3303,5.333,11.3276,"(5.3330, 11.3276)",362
PT,10,1.572,1.5103,1.6336,"(1.5103, 1.6336)",362
RO,10,2.1145,1.8835,2.3456,"(1.8835, 2.3456)",362
SE,10,78.095,-80.6129,236.8028,"(-80.6129, 236.8028)",362
SI,10,1.0378,1.0035,1.0721,"(1.0035, 1.0721)",362
SK,10,1.0195,1.011,1.028,"(1.0110, 1.0280)",362
UK,10,1.1537,1.0563,1.2511,"(1.0563, 1.2511)",362
