country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string,day
CH,10,1.058,1.0535,1.0625,"(1.0535, 1.0625)",301
CZ,10,1.125,1.1098,1.1402,"(1.1098, 1.1402)",301
DE,10,1.314,1.2788,1.3492,"(1.2788, 1.3492)",301
DK,10,1.16,1.1246,1.1954,"(1.1246, 1.1954)",301
EE,10,1.026,1.02,1.032,"(1.0200, 1.0320)",301
EL,10,1.188,1.1746,1.2014,"(1.1746, 1.2014)",301
ES,10,1.166,1.1293,1.2027,"(1.1293, 1.2027)",301
FI,10,1.009,1.0067,1.0113,"(1.0067, 1.0113)",301
FR,10,1.169,1.1484,1.1896,"(1.1484, 1.1896)",301
HR,10,1.169,1.122,1.216,"(1.1220, 1.2160)",301
HU,10,1.069,1.0541,1.0839,"(1.0541, 1.0839)",301
IE,10,1.0,,,,301
IT,10,1.182,1.1655,1.1985,"(1.1655, 1.1985)",301
LT,10,1.199,1.1504,1.2476,"(1.1504, 1.2476)",301
LU,10,1.253,1.2212,1.2848,"(1.2212, 1.2848)",301
LV,10,1.064,1.044,1.084,"(1.0440, 1.0840)",301
NL,10,1.22,1.192,1.248,"(1.1920, 1.2480)",301
NO,10,1.01,,,,301
PL,10,1.016,1.011,1.021,"(1.0110, 1.0210)",301
PT,10,1.095,1.0567,1.1333,"(1.0567, 1.1333)",301
RO,10,1.254,1.2024,1.3056,"(1.2024, 1.3056)",301
SE,10,1.085,1.0737,1.0963,"(1.0737, 1.0963)",301
SI,10,1.013,1.0095,1.0165,"(1.0095, 1.0165)",301
SK,10,1.009,1.0067,1.0113,"(1.0067, 1.0113)",301
UK,10,1.371,1.3448,1.3972,"(1.3448, 1.3972)",301
AT,10,1.125,1.1166,1.1334,"(1.1166, 1.1334)",332
BE,10,1.363,1.3268,1.3992,"(1.3268, 1.3992)",332
BG,10,1.296,1.2593,1.3327,"(1.2593, 1.3327)",332
CH,10,1.062,1.0564,1.0676,"(1.0564, 1.0676)",332
CZ,10,1.199,1.1691,1.2289,"(1.1691, 1.2289)",332
DE,10,1.323,1.271,1.375,"(1.2710, 1.3750)",332
DK,10,1.105,1.0726,1.1374,"(1.0726, 1.1374)",332
EE,10,1.019,1.0137,1.0243,"(1.0137, 1.0243)",332
EL,10,1.237,1.1933,1.2807,"(1.1933, 1.2807)",332
ES,10,1.142,1.0952,1.1888,"(1.0952, 1.1888)",332
FI,10,1.008,1.005,1.011,"(1.0050, 1.0110)",332
FR,10,1.282,1.2096,1.3544,"(1.2096, 1.3544)",332
HR,10,1.167,1.126,1.208,"(1.1260, 1.2080)",332
HU,10,1.093,1.0742,1.1118,"(1.0742, 1.1118)",332
IE,10,1.0,,,,332
IT,10,1.238,1.2003,1.2757,"(1.2003, 1.2757)",332
LT,10,1.188,1.1285,1.2475,"(1.1285, 1.2475)",332
LU,10,1.338,1.3115,1.3645,"(1.3115, 1.3645)",332
LV,10,1.036,1.0252,1.0468,"(1.0252, 1.0468)",332
NL,10,1.196,1.1733,1.2187,"(1.1733, 1.2187)",332
NO,10,1.004,1.0003,1.0077,"(1.0003, 1.0077)",332
PL,10,1.047,1.0387,1.0553,"(1.0387, 1.0553)",332
PT,10,1.06,1.0493,1.0707,"(1.0493, 1.0707)",332
RO,10,1.197,1.1711,1.2229,"(1.1711, 1.2229)",332
SE,10,1.026,1.0176,1.0344,"(1.0176, 1.0344)",332
SI,10,1.024,1.018,1.03,"(1.0180, 1.0300)",332
SK,10,1.01,,,,332
UK,10,1.264,1.2003,1.3277,"(1.2003, 1.3277)",332
AT,10,1.129,1.1113,1.1467,"(1.1113, 1.1467)",362
BE,10,1.298,1.2431,1.3529,"(1.2431, 1.3529)",362
BG,10,1.242,1.2062,1.2778,"(1.2062, 1.2778)",362
CH,10,1.085,1.0773,1.0927,"(1.0773, 1.0927)",362
CZ,10,1.292,1.2657,1.3183,"(1.2657, 1.3183)",362
DE,10,1.307,1.2527,1.3613,"(1.2527, 1.3613)",362
DK,10,1.067,1.0544,1.0796,"(1.0544, 1.0796)",362
EE,10,1.01,,,,362
EL,10,1.197,1.1724,1.2216,"(1.1724, 1.2216)",362
ES,10,1.123,1.0848,1.1612,"(1.0848, 1.1612)",362
FI,10,1.001,0.9987,1.0033,"(0.9987, 1.0033)",362
FR,10,1.15,1.1237,1.1763,"(1.1237, 1.1763)",362
HR,10,1.203,1.1806,1.2254,"(1.1806, 1.2254)",362
HU,10,1.1,1.0591,1.1409,"(1.0591, 1.1409)",362
IE,10,1.001,0.9987,1.0033,"(0.9987, 1.0033)",362
IT,10,1.15,1.1365,1.1635,"(1.1365, 1.1635)",362
LT,10,1.129,1.1046,1.1534,"(1.1046, 1.1534)",362
LU,10,1.404,1.3599,1.4481,"(1.3599, 1.4481)",362
LV,10,1.017,1.0135,1.0205,"(1.0135, 1.0205)",362
NL,10,1.15,1.122,1.178,"(1.1220, 1.1780)",362
NO,10,1.0,,,,362
PL,10,1.01,,,,362
PT,10,1.092,1.0509,1.1331,"(1.0509, 1.1331)",362
RO,10,1.199,1.1659,1.2321,"(1.1659, 1.2321)",362
SE,10,1.017,1.0135,1.0205,"(1.0135, 1.0205)",362
SI,10,1.016,1.0123,1.0197,"(1.0123, 1.0197)",362
SK,10,1.011,1.0087,1.0133,"(1.0087, 1.0133)",362
UK,10,1.13,1.1054,1.1546,"(1.1054, 1.1546)",362
