country,tol,forecast_day,n_obs,ratio_of_means,ci_lower_95,ci_upper_95,ci_width,mean_wind_obj,mean_solar_obj,mean_combined_obj,near_zero_denom
DK,0.05000,362,10,1.29165,1.15908,1.90272,0.74364,18.65383,0.00000,24.09431,False
DK,0.10000,271,10,2.70922,2.51349,2.96569,0.45220,2.99130,14.76773,48.11312,False
DK,0.10000,301,10,3.31953,2.29613,5.42825,3.13212,5.20031,4.37116,31.77274,False
DK,0.10000,332,10,3.48826,2.81143,4.45144,1.64001,1.78413,3.03118,16.79702,False
DK,0.10000,362,10,1.10729,1.06691,1.21046,0.14354,68.29153,0.00030,75.61857,False
EE,0.01000,271,10,,,,,0.00000,0.00000,0.03650,True
EE,0.01000,301,10,238.79235,78.27384,307.21339,228.93955,0.00000,0.00018,0.04370,True
EE,0.01000,332,10,,,,,0.00000,0.00000,0.05413,True
EE,0.01000,362,10,1.41231,1.07994,1.52336,0.44341,0.17080,0.00000,0.24123,False
EE,0.05000,271,10,6.54319,4.74978,9.54171,4.79193,0.00131,0.01355,0.09726,False
EE,0.05000,301,10,5.78057,3.94232,8.05346,4.11114,0.00120,0.01775,0.10956,False
EE,0.05000,332,10,6.78439,5.22520,8.81718,3.59199,0.00209,0.01709,0.13017,False
EE,0.05000,362,10,1.04512,1.02486,1.08129,0.05643,2.13235,0.01348,2.24266,False
EE,0.10000,271,10,3.93808,2.87910,6.85038,3.97127,0.03235,0.01905,0.20243,False
EE,0.10000,301,10,4.60194,3.46933,6.98479,3.51546,0.02113,0.01904,0.18487,False
EE,0.10000,332,10,1.40506,1.21339,1.92262,0.70924,0.32245,0.01650,0.47625,False
EE,0.10000,362,10,1.01266,1.00946,1.01581,0.00635,9.00900,0.01556,9.13880,False
EL,0.01000,271,10,1.34675,1.30907,1.38659,0.07752,0.00000,88.68948,119.44267,False
EL,0.01000,301,10,1.25394,1.21516,1.30364,0.08848,0.00000,125.73366,157.66303,False
EL,0.01000,332,10,1.37257,1.30206,1.46438,0.16232,0.00000,61.65855,84.63042,False
EL,0.01000,362,10,1.35979,1.27888,1.43493,0.15605,0.00000,94.20549,128.09997,False
EL,0.05000,271,10,1.34939,1.31943,1.38650,0.06707,0.00000,101.28532,136.67313,False
EL,0.05000,301,10,1.24687,1.22025,1.27819,0.05794,0.00000,139.04463,173.37045,False
EL,0.05000,332,10,1.38831,1.32557,1.45167,0.12610,0.17851,73.59341,102.41824,False
EL,0.05000,362,10,1.34367,1.27175,1.41956,0.14782,0.00000,107.69657,144.70888,False
EL,0.10000,271,10,1.34973,1.31990,1.38322,0.06332,0.34716,110.29021,149.33013,False
EL,0.10000,301,10,1.26130,1.23874,1.28889,0.05015,0.32105,147.94342,187.00562,False
EL,0.10000,332,10,1.35378,1.29621,1.41030,0.11409,3.50550,81.67000,115.30907,False
EL,0.10000,362,10,1.32907,1.27560,1.38266,0.10706,0.53205,117.95354,157.47555,False
ES,0.01000,271,10,1.34528,1.29353,1.40640,0.11287,0.00000,418.45722,562.94157,False
ES,0.01000,301,10,1.41742,1.34862,1.49024,0.14161,0.00000,306.36528,434.24830,False
ES,0.01000,332,10,1.38577,1.29065,1.49192,0.20126,0.00000,303.21950,420.19139,False
ES,0.01000,362,10,1.52062,1.40268,1.67356,0.27087,0.00000,257.37296,391.36554,False
ES,0.05000,271,10,1.38353,1.34046,1.44483,0.10438,0.00000,459.75344,636.08169,False
ES,0.05000,301,10,1.46356,1.39765,1.52956,0.13191,0.00000,346.73668,507.47138,False
ES,0.05000,332,10,1.44463,1.36681,1.52510,0.15829,0.00542,340.50607,491.91291,False
ES,0.05000,362,10,1.52416,1.44711,1.60259,0.15548,6.23942,292.54463,455.39355,False
ES,0.10000,271,10,1.42288,1.37423,1.48248,0.10825,5.97159,492.47465,709.22878,False
ES,0.10000,301,10,1.52400,1.45410,1.58895,0.13485,6.76943,376.25828,583.73604,False
ES,0.10000,332,10,1.47603,1.41839,1.53471,0.11632,13.27716,371.43661,567.85034,False
ES,0.10000,362,10,1.50070,1.45094,1.56490,0.11396,34.57973,318.64683,530.08736,False
FI,0.01000,271,10,,,,,0.00000,0.00000,0.06336,True
FI,0.01000,301,10,517.50532,136.61356,603.45745,466.84388,0.00000,0.00019,0.09729,True
FI,0.01000,332,10,,,,,0.00000,0.00000,0.05288,True
FI,0.01000,362,10,1.23686,1.05919,8.78115,7.72197,0.15793,0.00000,0.19533,False
FI,0.05000,271,10,2.87497,1.79984,18.41284,16.61300,0.07366,0.00936,0.23869,False
FI,0.05000,301,10,2.18785,1.46039,9.91249,8.45210,0.14224,0.02264,0.36073,False
FI,0.05000,332,10,12.68514,10.91534,14.75893,3.84359,0.00000,0.01112,0.14101,False
FI,0.05000,362,10,1.01274,1.00739,1.02104,0.01365,4.57451,0.00848,4.64139,False
